Report Start,Report End,Day of the Week,Age,Gender,Impressions,Clicks,Click Through Rate,Amount Spent,Total Conversions,Total Conversion Rate,Cost / Total Conversion,Approved Conversions,Approved Conversion Rate,Cost / Approved Conversion,Disapproved Conversions,Disapproved Conversion Rate,Cost / Disapproved Conversion
17/08/2017,17/08/2017,Thursday,45-49,Male,2182,1,0.05%,$1.53,1,100.0%,$1.53,1,100%,$1.53,0,0%,$0
17/08/2017,17/08/2017,Thursday,30-34,Male,7350,1,0.01%,$1.43,2,200.0%,$0.72,1,100%,$1.43,1,50%,$0.72
17/08/2017,17/08/2017,Thursday,30-34,Male,693,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
17/08/2017,17/08/2017,Thursday,30-34,Male,1915,0,0.00%,$0.00,1,0.0%,$0.00,1,0%,$0.00,0,0%,$0
17/08/2017,17/08/2017,Thursday,35-39,Male,1422,0,0.00%,$0.00,1,0.0%,$0.00,1,0%,$0.00,0,0%,$0
17/08/2017,17/08/2017,Thursday,30-34,Female,2654,0,0.00%,$0.00,1,0.0%,$0.00,1,0%,$0.00,0,0%,$0
17/08/2017,17/08/2017,Thursday,30-34,Female,1473,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
18/08/2017,18/08/2017,Friday,45-49,Male,775904,172,0.02%,$253.99,4,2.0%,$63.50,2,1%,$127.00,2,50%,$31.75
18/08/2017,18/08/2017,Friday,40-44,Female,797234,170,0.02%,$243.77,4,2.0%,$60.94,1,1%,$243.77,3,75%,$20.31
18/08/2017,18/08/2017,Friday,40-44,Female,190477,42,0.02%,$66.39,1,2.0%,$66.39,0,0%,$0.00,1,100%,$66.39
18/08/2017,18/08/2017,Friday,40-44,Female,164118,41,0.02%,$59.07,1,2.0%,$59.07,0,0%,$0.00,1,100%,$59.07
18/08/2017,18/08/2017,Friday,45-49,Female,115896,38,0.03%,$49.44,1,3.0%,$49.44,0,0%,$0.00,1,100%,$49.44
18/08/2017,18/08/2017,Friday,35-39,Female,485369,114,0.02%,$164.64,3,3.0%,$54.88,0,0%,$0.00,3,100%,$18.29
18/08/2017,18/08/2017,Friday,45-49,Male,517801,105,0.02%,$181.72,3,3.0%,$60.57,0,0%,$0.00,3,100%,$20.19
18/08/2017,18/08/2017,Friday,45-49,Male,179950,35,0.02%,$58.68,1,3.0%,$58.68,0,0%,$0.00,1,100%,$58.68
18/08/2017,18/08/2017,Friday,40-44,Male,214094,31,0.01%,$53.27,1,3.0%,$53.27,0,0%,$0.00,1,100%,$53.27
18/08/2017,18/08/2017,Friday,35-39,Female,109723,27,0.02%,$40.96,1,4.0%,$40.96,0,0%,$0.00,1,100%,$40.96
18/08/2017,18/08/2017,Friday,45-49,Male,120251,26,0.02%,$39.44,1,4.0%,$39.44,0,0%,$0.00,1,100%,$39.44
18/08/2017,18/08/2017,Friday,45-49,Male,139406,24,0.02%,$39.05,1,4.0%,$39.05,0,0%,$0.00,1,100%,$39.05
18/08/2017,18/08/2017,Friday,45-49,Male,258531,46,0.02%,$80.34,2,4.0%,$40.17,0,0%,$0.00,2,100%,$20.09
18/08/2017,18/08/2017,Friday,35-39,Female,475184,88,0.02%,$127.32,4,5.0%,$31.83,1,1%,$127.32,3,75%,$10.61
18/08/2017,18/08/2017,Friday,45-49,Male,272500,62,0.02%,$104.46,3,5.0%,$34.82,0,0%,$0.00,3,100%,$11.61
18/08/2017,18/08/2017,Friday,35-39,Female,1247717,222,0.02%,$343.42,11,5.0%,$31.22,4,2%,$85.86,7,64%,$4.46
18/08/2017,18/08/2017,Friday,45-49,Female,69708,20,0.03%,$31.29,1,5.0%,$31.29,0,0%,$0.00,1,100%,$31.29
18/08/2017,18/08/2017,Friday,45-49,Male,273197,57,0.02%,$87.73,3,5.0%,$29.24,0,0%,$0.00,3,100%,$9.75
18/08/2017,18/08/2017,Friday,35-39,Female,682143,114,0.02%,$177.11,6,5.0%,$29.52,2,2%,$88.56,4,67%,$7.38
18/08/2017,18/08/2017,Friday,40-44,Male,252991,49,0.02%,$76.84,3,6.0%,$25.61,0,0%,$0.00,3,100%,$8.54
18/08/2017,18/08/2017,Friday,35-39,Female,93002,16,0.02%,$23.34,1,6.0%,$23.34,0,0%,$0.00,1,100%,$23.34
18/08/2017,18/08/2017,Friday,30-34,Female,82455,15,0.02%,$22.05,1,7.0%,$22.05,0,0%,$0.00,1,100%,$22.05
18/08/2017,18/08/2017,Friday,45-49,Female,85412,28,0.03%,$38.64,2,7.0%,$19.32,1,4%,$38.64,1,50%,$19.32
18/08/2017,18/08/2017,Friday,30-34,Female,145548,28,0.02%,$42.37,2,7.0%,$21.19,1,4%,$42.37,1,50%,$21.19
18/08/2017,18/08/2017,Friday,35-39,Female,866355,139,0.02%,$200.83,11,8.0%,$18.26,5,4%,$40.17,6,55%,$3.04
18/08/2017,18/08/2017,Friday,45-49,Male,145104,25,0.02%,$41.42,2,8.0%,$20.71,1,4%,$41.42,1,50%,$20.71
18/08/2017,18/08/2017,Friday,45-49,Male,123151,24,0.02%,$36.44,2,8.0%,$18.22,1,4%,$36.44,1,50%,$18.22
18/08/2017,18/08/2017,Friday,35-39,Female,975884,167,0.02%,$237.32,14,8.0%,$16.95,3,2%,$79.11,11,79%,$1.54
18/08/2017,18/08/2017,Friday,35-39,Female,72982,11,0.02%,$15.05,1,9.0%,$15.05,0,0%,$0.00,1,100%,$15.05
18/08/2017,18/08/2017,Friday,35-39,Female,245607,33,0.01%,$47.88,3,9.0%,$15.96,1,3%,$47.88,2,67%,$7.98
18/08/2017,18/08/2017,Friday,40-44,Male,209332,30,0.01%,$49.60,3,10.0%,$16.53,1,3%,$49.60,2,67%,$8.27
18/08/2017,18/08/2017,Friday,40-44,Male,56265,9,0.02%,$15.54,1,11.0%,$15.54,0,0%,$0.00,1,100%,$15.54
18/08/2017,18/08/2017,Friday,35-39,Female,502710,72,0.01%,$105.22,8,11.0%,$13.15,2,3%,$52.61,6,75%,$2.19
18/08/2017,18/08/2017,Friday,35-39,Female,118941,35,0.03%,$50.11,4,11.0%,$12.53,1,3%,$50.11,3,75%,$4.18
18/08/2017,18/08/2017,Friday,40-44,Female,65726,17,0.03%,$22.12,2,12.0%,$11.06,0,0%,$0.00,2,100%,$5.53
18/08/2017,18/08/2017,Friday,45-49,Female,111090,38,0.03%,$51.97,5,13.0%,$10.39,1,3%,$51.97,4,80%,$2.60
18/08/2017,18/08/2017,Friday,40-44,Male,23817,7,0.03%,$8.47,1,14.0%,$8.47,1,14%,$8.47,0,0%,$0
18/08/2017,18/08/2017,Friday,30-34,Female,38726,7,0.02%,$9.22,1,14.0%,$9.22,0,0%,$0.00,1,100%,$9.22
18/08/2017,18/08/2017,Friday,40-44,Female,25382,7,0.03%,$9.61,1,14.0%,$9.61,0,0%,$0.00,1,100%,$9.61
18/08/2017,18/08/2017,Friday,30-34,Female,699232,80,0.01%,$111.99,12,15.0%,$9.33,3,4%,$37.33,9,75%,$1.04
18/08/2017,18/08/2017,Friday,40-44,Female,222273,39,0.02%,$53.63,6,15.0%,$8.94,1,3%,$53.63,5,83%,$1.79
18/08/2017,18/08/2017,Friday,45-49,Female,14257,6,0.04%,$8.79,1,17.0%,$8.79,0,0%,$0.00,1,100%,$8.79
18/08/2017,18/08/2017,Friday,35-39,Female,18234,6,0.03%,$7.81,1,17.0%,$7.81,0,0%,$0.00,1,100%,$7.81
18/08/2017,18/08/2017,Friday,40-44,Male,76923,11,0.01%,$17.67,2,18.0%,$8.84,2,18%,$8.84,0,0%,$0
18/08/2017,18/08/2017,Friday,30-34,Female,665817,117,0.02%,$163.80,23,20.0%,$7.12,9,8%,$18.20,14,61%,$0.51
18/08/2017,18/08/2017,Friday,45-49,Female,20362,5,0.02%,$9.12,1,20.0%,$9.12,1,20%,$9.12,0,0%,$0
18/08/2017,18/08/2017,Friday,30-34,Female,159123,25,0.02%,$38.36,5,20.0%,$7.67,3,12%,$12.79,2,40%,$3.84
18/08/2017,18/08/2017,Friday,30-34,Female,103709,15,0.01%,$24.57,3,20.0%,$8.19,1,7%,$24.57,2,67%,$4.10
18/08/2017,18/08/2017,Friday,45-49,Female,12215,4,0.03%,$6.26,1,25.0%,$6.26,0,0%,$0.00,1,100%,$6.26
18/08/2017,18/08/2017,Friday,45-49,Male,24078,4,0.02%,$5.77,1,25.0%,$5.77,0,0%,$0.00,1,100%,$5.77
18/08/2017,18/08/2017,Friday,40-44,Female,46391,11,0.02%,$16.41,3,27.0%,$5.47,1,9%,$16.41,2,67%,$2.74
18/08/2017,18/08/2017,Friday,35-39,Male,8200,3,0.04%,$3.92,1,33.0%,$3.92,0,0%,$0.00,1,100%,$3.92
18/08/2017,18/08/2017,Friday,40-44,Female,11244,3,0.03%,$4.55,1,33.0%,$4.55,0,0%,$0.00,1,100%,$4.55
18/08/2017,18/08/2017,Friday,40-44,Female,22210,3,0.01%,$4.05,1,33.0%,$4.05,1,33%,$4.05,0,0%,$0
18/08/2017,18/08/2017,Friday,35-39,Male,12190,2,0.02%,$3.05,1,50.0%,$3.05,0,0%,$0.00,1,100%,$3.05
18/08/2017,18/08/2017,Friday,35-39,Male,12193,2,0.02%,$3.06,1,50.0%,$3.06,1,50%,$3.06,0,0%,$0
18/08/2017,18/08/2017,Friday,35-39,Male,7440,2,0.03%,$2.98,1,50.0%,$2.98,1,50%,$2.98,0,0%,$0
18/08/2017,18/08/2017,Friday,35-39,Male,5676,2,0.04%,$3.01,1,50.0%,$3.01,0,0%,$0.00,1,100%,$3.01
18/08/2017,18/08/2017,Friday,45-49,Male,7478,2,0.03%,$2.90,1,50.0%,$2.90,1,50%,$2.90,0,0%,$0
18/08/2017,18/08/2017,Friday,30-34,Male,7208,2,0.03%,$3.19,1,50.0%,$3.19,0,0%,$0.00,1,100%,$3.19
18/08/2017,18/08/2017,Friday,30-34,Male,12489,2,0.02%,$1.96,1,50.0%,$1.96,0,0%,$0.00,1,100%,$1.96
18/08/2017,18/08/2017,Friday,35-39,Female,4621,2,0.04%,$3.25,1,50.0%,$3.25,1,50%,$3.25,0,0%,$0
18/08/2017,18/08/2017,Friday,30-34,Female,17870,2,0.01%,$2.62,1,50.0%,$2.62,1,50%,$2.62,0,0%,$0
18/08/2017,18/08/2017,Friday,30-34,Female,19178,2,0.01%,$2.78,1,50.0%,$2.78,1,50%,$2.78,0,0%,$0
18/08/2017,18/08/2017,Friday,30-34,Male,9134,3,0.03%,$4.18,2,67.0%,$2.09,0,0%,$0.00,2,100%,$1.05
18/08/2017,18/08/2017,Friday,30-34,Male,7780,3,0.04%,$4.33,2,67.0%,$2.17,2,67%,$2.17,0,0%,$0
18/08/2017,18/08/2017,Friday,45-49,Female,5307,3,0.06%,$4.29,2,67.0%,$2.15,1,33%,$4.29,1,50%,$2.15
18/08/2017,18/08/2017,Friday,30-34,Female,3091,1,0.03%,$1.61,1,100.0%,$1.61,1,100%,$1.61,0,0%,$0
18/08/2017,18/08/2017,Friday,30-34,Female,5014,1,0.02%,$1.19,1,100.0%,$1.19,0,0%,$0.00,1,100%,$1.19
18/08/2017,18/08/2017,Friday,30-34,Male,2338,1,0.04%,$0.24,1,100.0%,$0.24,0,0%,$0.00,1,100%,$0.24
18/08/2017,18/08/2017,Friday,45-49,Male,4919,1,0.02%,$1.59,1,100.0%,$1.59,0,0%,$0.00,1,100%,$1.59
18/08/2017,18/08/2017,Friday,35-39,Male,6412,1,0.02%,$1.37,1,100.0%,$1.37,0,0%,$0.00,1,100%,$1.37
18/08/2017,18/08/2017,Friday,35-39,Female,10186,1,0.01%,$1.23,1,100.0%,$1.23,1,100%,$1.23,0,0%,$0
18/08/2017,18/08/2017,Friday,30-34,Male,3385,1,0.03%,$1.44,1,100.0%,$1.44,1,100%,$1.44,0,0%,$0
18/08/2017,18/08/2017,Friday,35-39,Male,2633,1,0.04%,$1.07,1,100.0%,$1.07,0,0%,$0.00,1,100%,$1.07
18/08/2017,18/08/2017,Friday,35-39,Male,9948,2,0.02%,$2.72,2,100.0%,$1.36,0,0%,$0.00,2,100%,$0.68
18/08/2017,18/08/2017,Friday,35-39,Female,5775,1,0.02%,$1.58,1,100.0%,$1.58,1,100%,$1.58,0,0%,$0
18/08/2017,18/08/2017,Friday,30-34,Female,3717,1,0.03%,$1.54,1,100.0%,$1.54,0,0%,$0.00,1,100%,$1.54
18/08/2017,18/08/2017,Friday,30-34,Male,8032,1,0.01%,$0.60,2,200.0%,$0.30,0,0%,$0.00,2,100%,$0.15
18/08/2017,18/08/2017,Friday,35-39,Male,3332,0,0.00%,$0.00,1,0.0%,$0.00,1,0%,$0.00,0,0%,$0
18/08/2017,18/08/2017,Friday,35-39,Male,559,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
18/08/2017,18/08/2017,Friday,40-44,Male,2861,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
18/08/2017,18/08/2017,Friday,40-44,Male,1398,0,0.00%,$0.00,1,0.0%,$0.00,1,0%,$0.00,0,0%,$0
18/08/2017,18/08/2017,Friday,35-39,Female,652,0,0.00%,$0.00,0,0.0%,#DIV/0!,0,0%,$0.00,0,0%,$0
18/08/2017,18/08/2017,Friday,35-39,Female,1357,0,0.00%,$0.00,1,0.0%,$0.00,1,0%,$0.00,0,0%,$0
18/08/2017,18/08/2017,Friday,35-39,Female,1393,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
18/08/2017,18/08/2017,Friday,45-49,Female,530,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
18/08/2017,18/08/2017,Friday,30-34,Male,2522,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
18/08/2017,18/08/2017,Friday,30-34,Male,3587,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
18/08/2017,18/08/2017,Friday,30-34,Male,1273,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
18/08/2017,18/08/2017,Friday,30-34,Male,1746,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
18/08/2017,18/08/2017,Friday,30-34,Male,2474,0,0.00%,$0.00,2,0.0%,$0.00,2,0%,$0.00,0,0%,$0
18/08/2017,18/08/2017,Friday,30-34,Female,3745,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
18/08/2017,18/08/2017,Friday,30-34,Female,830,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
18/08/2017,18/08/2017,Friday,45-49,Female,2912,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
18/08/2017,18/08/2017,Friday,35-39,Female,2755,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
18/08/2017,18/08/2017,Friday,30-34,Male,2086,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
18/08/2017,18/08/2017,Friday,35-39,Male,6016,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
18/08/2017,18/08/2017,Friday,30-34,Female,1783,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
18/08/2017,18/08/2017,Friday,30-34,Male,2499,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
18/08/2017,18/08/2017,Friday,30-34,Male,351,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
18/08/2017,18/08/2017,Friday,30-34,Male,465,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
18/08/2017,18/08/2017,Friday,30-34,Male,1761,0,0.00%,$0.00,1,0.0%,$0.00,1,0%,$0.00,0,0%,$0
18/08/2017,18/08/2017,Friday,30-34,Male,1514,0,0.00%,$0.00,2,0.0%,$0.00,2,0%,$0.00,0,0%,$0
18/08/2017,18/08/2017,Friday,35-39,Male,460,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
18/08/2017,18/08/2017,Friday,35-39,Male,471,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
18/08/2017,18/08/2017,Friday,30-34,Male,199,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
18/08/2017,18/08/2017,Friday,35-39,Female,784,0,0.00%,$0.00,1,0.0%,$0.00,1,0%,$0.00,0,0%,$0
18/08/2017,18/08/2017,Friday,30-34,Female,5264,0,0.00%,$0.00,1,0.0%,$0.00,0,0%,$0.00,1,100%,$0.00
19/08/2017,19/08/2017,Saturday,45-49,Female,436943,109,0.02%,$145.82,1,1.0%,$145.82,1,1%,$145.82,0,0%,$0
19/08/2017,19/08/2017,Saturday,45-49,Female,284488,90,0.03%,$125.27,1,1.0%,$125.27,1,1%,$125.27,0,0%,$0
19/08/2017,19/08/2017,Saturday,40-44,Male,264222,63,0.02%,$87.79,1,2.0%,$87.79,1,2%,$87.79,0,0%,$0
19/08/2017,19/08/2017,Saturday,35-39,Female,227473,52,0.02%,$71.58,1,2.0%,$71.58,1,2%,$71.58,0,0%,$0
19/08/2017,19/08/2017,Saturday,40-44,Male,253169,51,0.02%,$75.79,1,2.0%,$75.79,0,0%,$0.00,1,100%,$75.79
19/08/2017,19/08/2017,Saturday,45-49,Male,381577,81,0.02%,$127.57,2,2.0%,$63.79,0,0%,$0.00,2,100%,$31.89
19/08/2017,19/08/2017,Saturday,35-39,Female,905699,161,0.02%,$234.66,4,2.0%,$58.67,1,1%,$234.66,3,75%,$19.56
19/08/2017,19/08/2017,Saturday,35-39,Female,182098,40,0.02%,$62.87,1,3.0%,$62.87,1,3%,$62.87,0,0%,$0
19/08/2017,19/08/2017,Saturday,45-49,Female,637549,120,0.02%,$173.88,3,3.0%,$57.96,0,0%,$0.00,3,100%,$19.32
19/08/2017,19/08/2017,Saturday,35-39,Female,1050947,230,0.02%,$350.51,6,3.0%,$58.42,1,0%,$350.51,5,83%,$11.68
19/08/2017,19/08/2017,Saturday,40-44,Male,188873,38,0.02%,$58.60,1,3.0%,$58.60,1,3%,$58.60,0,0%,$0
19/08/2017,19/08/2017,Saturday,35-39,Female,325653,63,0.02%,$89.35,2,3.0%,$44.68,0,0%,$0.00,2,100%,$22.34
19/08/2017,19/08/2017,Saturday,40-44,Male,180815,31,0.02%,$42.63,1,3.0%,$42.63,0,0%,$0.00,1,100%,$42.63
19/08/2017,19/08/2017,Saturday,40-44,Male,209825,30,0.01%,$54.87,1,3.0%,$54.87,0,0%,$0.00,1,100%,$54.87
19/08/2017,19/08/2017,Saturday,40-44,Male,741143,120,0.02%,$179.62,4,3.0%,$44.91,1,1%,$179.62,3,75%,$14.97
19/08/2017,19/08/2017,Saturday,40-44,Male,526209,85,0.02%,$126.93,3,4.0%,$42.31,2,2%,$63.47,1,33%,$42.31
19/08/2017,19/08/2017,Saturday,35-39,Female,164754,49,0.03%,$67.98,2,4.0%,$33.99,1,2%,$67.98,1,50%,$33.99
19/08/2017,19/08/2017,Saturday,40-44,Male,110018,24,0.02%,$39.86,1,4.0%,$39.86,0,0%,$0.00,1,100%,$39.86
19/08/2017,19/08/2017,Saturday,45-49,Male,101431,23,0.02%,$33.93,1,4.0%,$33.93,1,4%,$33.93,0,0%,$0
19/08/2017,19/08/2017,Saturday,35-39,Female,146406,23,0.02%,$33.23,1,4.0%,$33.23,1,4%,$33.23,0,0%,$0
19/08/2017,19/08/2017,Saturday,45-49,Female,107100,23,0.02%,$33.71,1,4.0%,$33.71,0,0%,$0.00,1,100%,$33.71
19/08/2017,19/08/2017,Saturday,45-49,Female,1118200,235,0.02%,$333.75,11,5.0%,$30.34,4,2%,$83.44,7,64%,$4.33
19/08/2017,19/08/2017,Saturday,40-44,Male,137584,21,0.02%,$36.78,1,5.0%,$36.78,0,0%,$0.00,1,100%,$36.78
19/08/2017,19/08/2017,Saturday,45-49,Male,99698,21,0.02%,$33.35,1,5.0%,$33.35,0,0%,$0.00,1,100%,$33.35
19/08/2017,19/08/2017,Saturday,45-49,Male,355165,81,0.02%,$128.61,4,5.0%,$32.15,3,4%,$42.87,1,25%,$32.15
19/08/2017,19/08/2017,Saturday,35-39,Female,73676,20,0.03%,$28.50,1,5.0%,$28.50,0,0%,$0.00,1,100%,$28.50
19/08/2017,19/08/2017,Saturday,45-49,Female,1129773,252,0.02%,$358.19,13,5.0%,$27.55,2,1%,$179.10,11,85%,$2.50
